KCI,036670,12600,10200,6900,6900,6900,6900,0,False,False,0.0,0,-,0,
KCTC,009070,11500,11500,1750,1750,1750,1750,0,False,False,0.0,0,-,20210112,
KC그린홀딩스,009440,6090,6090,2875,2875,2875,2875,0,False,False,0.0,0,-,0,
KEC,092220,3545,3360,1790,1544,1409,1274,0,False,False,0.0,0,-,20201014,
KG ETS,151860,12800,12800,8980,7738,7055,6372,1,False,False,0.0,0,-,20210518,
KG동부제철,016380,25150,25150,6300,6300,6300,6300,0,False,False,0.0,0,-,20201201,
KG모빌리언스,046440,13800,12500,3845,3845,3845,3845,0,False,False,0.0,0,-,0,
KG이니시스,035600,26200,22550,14200,14200,14200,14200,0,False,False,0.0,0,-,0,
KG케미칼,001390,32600,32600,21950,18920,17254,15588,0,False,False,0.0,0,-,20200807,
KH E&T,226360,4220,2995,1530,1530,1530,1530,0,False,False,0.0,0,-,0,
KH 필룩스,033180,9126,9126,5843,5036,4592,4148,0,False,False,0.0,0,-,20210118,
KH바텍,060720,26200,23700,15500,15500,15500,15500,0,False,False,0.0,0,-,0,
KISCO홀딩스,001940,21300,21300,9100,9100,9100,9100,0,False,False,0.0,0,-,0,
KMH,122450,21800,21800,8700,7500,6840,6180,0,False,False,0.0,0,-,20201014,
KMH하이텍,052900,2615,2615,1895,1634,1490,1346,0,False,False,0.0,0,-,20201014,
KNN,058400,3015,2735,1440,1242,1133,1024,0,False,False,0.0,0,-,20200427,
KPX생명과학,114450,34000,17750,16300,14050,12812,11574,0,False,False,1.0,12420,-,20201109,
KPX케미칼,025000,77500,77500,45800,45800,45800,45800,0,False,False,0.0,0,-,0,
KPX홀딩스,092230,125000,83400,39750,39750,39750,39750,0,False,False,0.0,0,-,0,
KSS해운,044450,16100,16100,6350,6350,6350,6350,0,False,False,0.0,0,-,0,
KT,030200,34450,34450,19000,19000,19000,19000,0,False,False,0.0,0,-,0,
KT&G,033780,89500,89000,75100,75100,75100,75100,0,False,False,0.0,0,-,0,
KTB투자증권,030210,6890,6890,1800,1800,1800,1800,0,False,False,0.0,0,-,0,
KTH,036030,19950,19950,3975,3975,3975,3975,0,False,False,0.0,0,-,20210323,
KTcs,058850,3860,3860,1400,1400,1400,1400,0,False,False,0.0,0,-,0,
KTis,058860,3475,3475,1420,1420,1420,1420,0,False,False,0.0,0,-,0,
KT서브마린,060370,8850,8850,2435,2435,2435,2435,0,False,False,0.0,0,-,20200904,
LF,093050,21500,21500,10100,10100,10100,10100,0,False,False,0.0,0,-,0,
LG,003550,122500,122500,47707,47707,47707,47707,0,False,False,0.0,0,-,0,
LG디스플레이,034220,27600,27600,9980,9980,9980,9980,0,False,False,0.0,0,-,0,
LG상사,001120,36800,36800,7860,7860,7860,7860,0,False,False,0.0,0,-,0,
LG생활건강,051900,1706000,1706000,1106000,1106000,1106000,1106000,0,False,False,0.0,0,-,0,
